sigla;evento;Qualis_Final;
BCS-HCI;Conference of the British Computer Society Human Computer Interaction Specialist Group;B1;
BDCAT;IEEE/ACM International Conference on Big Data Computing, Applications and Technologies;B1;
BDCLOUD;International Conference on Big Data and Cloud Computing;A4;
BENCH;International Symposium on Benchmarking, Measuring and Optimization;B2;
BESC;International Conference on Behavior, Economic and Social Computing;B3;
BIATA;Bioinformatics: from Algorithms to Applications;B3;
BIBE;IEEE International Conference on BioInformatics and BioEngineering;A3;
BIBM;IEEE International Conference on Bioinformatics and Biomedicine;A2;
BICT;EAI International Conference on Bio-inspired Information an Communications Technologies;B2;
BIGDATA;IEEE International Conference on Big Data;A1;
BigDataSE;IEEE International Conference On Big Data Science And Engineering;A3;
BIGDATASERVICE;IEEE International Conference on Big Data Computing Service and Applications;A4;
BIGDSE;IEEE/ACM International Workshop on Big Data Software Engineering;B2;
BigSpatial;ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data;B3;
BioCOMP-WC;International Conference on Bioinformatics & Computational Biology;B2;
BioRob;IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics;A3;
BIOSENSORS;World Congress on Biosensors;B4;
BIS;International Conference on Business Information Systems;A4;
BLACKSEACOM;IEEE International Black Sea Conference on Communications and Networking;A4;
BLOCKCHAIN;IEEE International Conference on Blockchain;A4;
BMEI;International Conference BioMedical Engineering and Informatics;A4;
BMVC;British Machine Vision Conference;A1;
BPM;International Conference on Business Process Management;A2;
BPMS2;Workshop on Social and Human Aspects of Business Process Management;B4;
BRACIS;Brazilian Conference on Intelligent Systems;A4;
BRAHUR;Brazilian Humanoid Robot Workshop;B4;
BRAINS;Blockchain, Robotics and AI for Networking Security Conference;B4;
BRASERO;Brazilian Workshop on Service Robotics;B4;
BRASNAM;Brazilian Workshop on Social Network Analysis and Mining;B4;
BRESCI;Brazilian e-Science Workshop;B4;
BSB;Brazilian Symposium on Bioinformatics;B1;
BSN;IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks;A3;
BTAS;IEEE International Conference on Biometrics: Theory, Applications, and Systems;A2;
C&T;International Conference on Communities and Technologies;B3;
C4BIE;International Workshop on Cloud for Business, Industry and Enterprises;B4;
CAD;International CAD Conference;A4;
CADE;International Conference on Automated Deduction;A3;
CAIP;International Conference on Computer Analysis of Images and Patterns;B1;
CAISE;International Conference on Advanced Information Systems Engineering;A3;
CALDAM;International Conference on Algorithms and Discrete Applied Mathematics;B3;
CAMAD;IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks;A4;
CANDAR;International Symposium on Computing and Networking;B1;
CANS;International Conference on Cryptology and Network Security;A3;
CAPSI;Conferência da Associação Portuguesa de Sistemas de Informação;B4;
CARLA;Latin America High Performance Computing Conference;B3;
CASA;Conference on Computer Animation and Social Agents;B3;
CASCON;Annual International Conference on Computer Science and Software Engineering;B1;
CASE;IEEE Conference on Automation Science and Engineering;A3;
CASES;International Conference on Compilers, Architecture, and Synthesis for Embedded Systems;B4;
CATA;International Conference on Computers and their Applications;B4;
CATE;Computers and Advanced Technology in Education;B4;
CAV;International Conference on Computer Aided Verification;A1;
CBA;Congresso Brasileiro de Automática;B4;
CBEB;Congresso Brasileiro de Engenharia Biomédica;B4;
CBI;IEEE Conference on Business Informatics;A4;
CBIC;Congresso Brasileiro de Inteligência Computacional;B4;
CBIS;Congresso Brasileiro de Informática em Saúde;B4;
CBMI;International Workshop on Content-Based Multimedia Indexing;A4;
CBMS;International Symposium on Computer-Based Medical Systems;A3;
CBS;IEEE International Conference on Cyborg and Bionic Systems;B3;
CBSF;Congresso Brasileiro de Sistemas Fuzzy;B4;
CBSoft;Brazilian Conference on Software: Theory and Practice;B4;
CBTMS;Congresso Brasileiro de Telemedicina e Telesaúde;B4;
CC;International Conference on Compiler Construction;A3;
CCC;IEEE Conference on Computational Complexity;A3;
CCCG;Canadian Conference on Computational Geometry;B3;
CCECE;Canadian Conference on Electrical and Computer Engineering;A3;
CCGRID;IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing;A2;
CCNC;Annual IEEE Consumer Communications & Networking Conference;A2;
CCS;ACM Symposium on Computer and Communications Security;A1;
CCSI;Workshop on Core Computations on Spatial Information;B4;
CDC;IEEE Conference on Decision and Control;A1;
CDH;International Conference on Digital Health;A4;
CDVE;International Conference on Cooperative Design, Visualization, and Engineering;B2;
CEC;IEEE Congress on Evolutionary Computation;A1;
CECC;Central European Cybersecurity Conference;B4;
CELDA;Cognition and Exploratory Learning in Digital Age;B4;
CENTERIS;Conference on ENTERprise Information Systems;A3;
CESI;International Workshop on Conducting Empirical Studies in Industry;B3;
CF;ACM International Conference on Computing Frontiers;A3;
CGI;Computer Graphics International Conference;B1;
CGO;International Symposium on Code Generation and Optimization;A2;
CHASE;International Workshop on Cooperative and Human Aspects of Software Engineering;A3;
CHES;Conference on Cryptographic Hardware and Embedded Systems;B3;
CHI;ACM SIGKDD Conference on Knowledge Discovery and Data Mining;A1;
CHIIR;Conference on Human Information Interaction and Retrieval;A3;
CHIPlay;ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play;A2;
CIAC;International Conference on Algorithms and Complexity;B2;
CIARP;Iberoamerican Congress on Pattern Recognition;A4;
CIBCB;IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology;A4;
CIbSE;Conferencia Iberoamericana de Software Engineering;B2;
CIC;International Conference on Collaboration and Internet Computing;A3;
CICC;IEEE Custom Integrated Circuits Conference;A3;
CICLING;International Conference on Intelligent Text Processing and Computational Linguistics;A4;
CIDI;Congresso Internacional de Design da Informação;B4;
CIDM;Symposium on Computational Intelligence and Data Mining;B4;
CIDR;Biennial Conference on Innovative Data Systems Research;A2;
CIG;IEEE Conference on Computational Intelligence and Games;B4;
CIKM;ACM International Conference on Information and Knowledge Management;A1;
CILAMCE;Iberian Latin American Congress on Computational Methods;B4;
CISCI;Conferencia Iberoamericana en Sistemas, Cibernética e Informática;B4;
CISIS;International Conference on Complex, Intelligent, and Software Intensive Systems;A4;
CISTI;Iberian Conference on Information Systems and Technologies;A4;
CIT;IEEE International Conference on Computer and Information Technology;B1;
CITS;International Conference on Computer, Information, and Telecommunication Systems;B1;
CL;Corpus Linguistics Conference;B3;
CLAIO;Latin-Ibero-American Conference on Operations Research;B4;
CLEF;Conference and Labs of the Evaluation Forum;B1;
CLEI;Conferencia Latinoamericana de Informática;B1;
CLIHC;Latin American Conference on Human Computer Interaction;B4;
CLOSER;International Conference on Cloud Computing and Services Science;A3;
CLOUD;IEEE International Conference on Cloud Computing;A2;
CloudCom;IEEE International Conference on Cloud Computing Technology and Science;A3;
CLOUDCOMPUTING- IARIA;IARIA International Conference on Cloud Computing, GRIDs, and Virtualization;B4;
CLOUDDB;IEEE International workshop on Cloud data management;B4;
CloudNet;IEEE International Conference on Cloud Networking;A4;
CLOUDTECH;International Conference on Cloud Computing Technologies and Applications;B4;
CLUSTER;IEEE International Conference on Cluster Computing;A3;
CMMR;International Symposium on Computer Music Multidisciplinary Research;B1;
CMN;Congress on Numerical Methods in Engineering;B4;
CNMAC;Congresso Nacional de Matemática Aplicada e Computacional;B4;
CNS;IEEE Conference on Communications and Network Security;A2;
CNSM;International Conference on Network and Service Management;A4;
CoARCH;Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage;B4;
COCOA;International Conference on Combinatorial Optimization and Applications;B2;
COCOON;International Computing and Combinatorics Conference;A4;
CODASPY;ACM Conference on Data and Application Security and Privacy;A2;
CODES+ISS;IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis;A3;
COG;IEEE Conference on Games;A2;
COGNISE;International Workshop on Cognitive Aspects of Information Systems Engineering;B4;
COGSCI;Annual Meeting of the Cognitive Science Society;A2;
CogSIMA;IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support;B2;
ColCACI;IEEE Colombian Conference on Applications in Computational Intelligence;B3;
COLING;International Conference on Computational Linguistics;A1;
CollaborateCom;International Conference on Collaborative Computing: Networking, Applications and Worksharing;B3;
CollabTech;International Conference on Collaboration Technologies and Social Computing;B4;
COLT;Conference on Learning Theory;A1;
CoMeSySo;Computational Methods in Systems and Software;B2;
COMMA;International Conference on Computational Models of Argument;A4;
COMPSAC;IEEE Computer Software and Applications Conference;A2;
COMSNETS;International Conference on Communication Systems & NetworkS;A3;
COMSOC;International Workshop on Computational Social Choice;B4;
CONCUR;International Conference on Concurrency Theory;A3;
CONEXT;Conference on Emerging Network Experiment and Technology;A2;
CONFIRM;International Conference on Information Resources Management;B2;
CONISOFT;International Conference in Software Engineering Research and Innovation;B2;
CoNLL;Conference on Natural Language Learning;A1;
CONTECSI;International Conference on Information Systems and Technology Management;B3;
CONTEXT-BPM;International Workshop on Context for Business Process Management;B4;
CONTROLO;APCA International Conference on Automatic Control and Soft Computing;B3;
CoopIS;International Conference on Cooperative Information Systems;B3;
CoRL;Conference on Robot Learning;A1;
COSIT;International Conference on Spatial Information Theory;B2;
COSN;Conference on Online Social Networks;B4;
COURB;Workshop of Urban Computing;B4;
CP;International Conference on Principles and Practice of Constraint Programming;A3;
CPM;Annual Symposium on Combinatorial Pattern Matching;B1;
CPP;International Conference on Certified Programs and Proofs;A3;
CRIWG;International Workshop on Groupware;B3;
CrownCom;International Conference on Cognitive Radio Oriented Wireless Networks;B2;
CRV;Canadian Conference on Computer and Robot Vision;A4;
CRYPTO;International Cryptology Conference;A1;
CSBC;Congresso da Sociedade Brasileira de Computação;B4;
