sigla;evento;Qualis_Final;
GEOBIA;Geographic Object-based Image Analysis;B3;
GEOINFO;Brazilian Symposium on GeoInformatics;B1;
GeoPROCESSING- IARIA;IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services;B3;
GeoSim;International Workshop on Geospatial Simulation;B4;
GI;Graphics Interface Conference;B1;
GIIS;Global Information Infrastructure and Networking Symposium;B2;
GIR;Workshop on Geographic Information Retrieval;B2;
GIScience;International Conference on Geographic Information Science;A4;
GLOBALSIP;Global Conference on Signal and Information Processing;A2;
GLOBECOM;IEEE Global Communications Conference;A1;
GLSVLSI;Great Lakes Symposium on VLSI;A3;
GPC;International Conference on Grid And Pervasive Computing;B2;
GPCE;ACM International Conference on Generative Programming: Concepts and Experiences;B3;
GRAPP;International Conference on Computer Graphics Theory and Applications;B3;
GreenCom;IEEE International Conference on Green Computing and Communications;A2;
GROUP;International Conference on Supporting Group Work;A3;
GVIZ;Workshop on New Directions in Geovisual Analytics;B4;
GWN;International Global Wordnet Conference;B2;
HAIS;International Conference on Hybrid Artificial Intelligence Systems;A4;
HAPTICS;IEEE Haptics Symposium;A3;
HASE;IEEE International Symposium on High Assurance Systems Engineering;A3;
HCOMP;AAAI Conference on Human Computation and Crowdsourcing;A3;
HCSE;International Conference on Human-Centered Software Engineering;B3;
HEALTHCOM;IEEE International Conference on E-health Networking, Application & Services;A3;
HEALTHINF;International Conference on Health Informatics;A3;
HEALTHINFO;International Conference on Informatics and Assistive Technologies for Health-Care, Medical Support and Wellbeing;B4;
HICSS;Hawaii International Conference on System Sciences;A1;
HILDA;Workshop on Human-In-the-Loop Data Analytics;A4;
HIMS;International Conference on Health Informatics and Medical Systems;B4;
HIPC;IEEE International Conference on High Performance Computing;A3;
HIS;International Conference on Hybrid Intelligent Systems;A4;
HM;International Workshop on Hybrid Metaheuristics;B3;
HOST;IEEE International Symposium on Hardware Oriented Security and Trust;A3;
HOTNETS;ACM Workshop on Hot Topics in Networks;A3;
HPCA;IEEE International Symposium on High Performance Computer Architecture;A1;
HPCC;International Conference on High Performance Computing and Communications;A3;
HPCS;International Conference on High Performance Computing & Simulation;A4;
HPDC;International Symposium on High Performance Distributed Computing;A3;
HPSR;IEEE High Performance Switching and Routing;B2;
HRI;ACM/IEEE International Conference on Human Robot Interaction;A1;
HS;Haskell Symposium;B3;
HSCC;International Conference on Hybrid Systems: Computation and Control;A2;
HT;ACM Conference on Hypertext and Social Media;A4;
Humanoids;IEEE RAS International Conference on Humanoid Robot;A2;
Hypertext;ACM Conference on Hypertext and Hypermedia;A3;
i-SAIRAS;International Symposium on Artificial Intelligence, Robotics and Automation in Space;B3;
I/ITSEC;Interservice/Industry Training, Simulation & Education Conference;B3;
I2MTC;IEEE International Instrumentation and Measurement Technology Conference;A3;
I3D;ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games;A3;
IAAI;International Conference of the Italian Association for Artificial Intelligence;B2;
IAS;Industry Applications Society Annual Meeting;A2;
IAV;IFAC Symposium on Intelligent Autonomous Vehicles;B4;
IBERAMIA;Ibero-American Conference on Artificial Intelligence;B2;
IBERCHIP;Workshop Iberchip;B4;
IC2E;IEEE International Conference on Cloud Engineering;A2;
IC3K;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;B2;
ICA3PP;International Conference on Algorithms and Architectures for Parallel Processing;B1;
ICAART;International Conference on Agents and Artificial Intelligence;A4;
ICAI;International Conference on Applied Informatics;B3;
ICAISC;International Conference on Artificial Intelligence and Soft Computing;A4;
ICAIWC;International Conference on Artificial Intelligence;B2;
ICALP;International Colloquium on Automata, Languages, and Programming;A2;
ICALT;IEEE International Conference on Advanced Learning Technologies;A3;
ICANN;International Conference on Artificial Neural Networks;A2;
ICAPS;International Conference on Automated Planning and Scheduling;A2;
ICAR;International Conference on Advanced Robotics;A3;
ICARA;International Conference on Automation, Robotics and Applications;B4;
ICARM;International Conference on Advanced Robotics and Mechatronics;B1;
ICAROB;International Conference on Artificial Life and Robotics;B3;
ICARSC;IEEE International Conference on Autonomous Robot Systems and Competitions;B1;
ICARV;International Conference on Control, Automation, Robotics and Vision;A4;
ICAS-IARIA;IARIA International Conference on Autonomic and Autonomous Systems;B1;
ICASSP;IEEE International Conference on Acoustics, Speech and Signal Processing;A1;
ICB;International Conference on Biometrics;A2;
ICBC;IEEE International Conference on Blockchain and Cryptocurrency;A4;
ICBIP;International Conference on Biomedical Signal and Image Processing;B4;
ICBK;International Conference on Big Knowledge;B2;
ICBL;International Conference on Interactive Collaborative and Blended Learning;B4;
ICC;IEEE International Conference on Communications;A1;
ICCA;IEEE International Conference on Control and Automation;A4;
ICCABS;International Conference on Computational Advances in Bio and Medical Sciences;B1;
ICCAD;IEEE/ACM International Conference on Computer-Aided Design;A1;
ICCAR;International Conference on Control, Automation and Robotics;A4;
ICCC;International Conference on Computational Creativity;A4;
ICCCBE;International Conference on Computing in Civil and Building Engineering;B3;
ICCCN;International Conference on Computer Communications and Networks;A2;
ICCD;International Conference on Computer Design;A3;
ICCDCS;International Caribbean Conference on Devices, Circuits and Systems;B3;
ICCE-EDU;International Conference on Computers in Education;B2;
iCCECE;International Conference on Computing, Electronics & Communications Engineering;B2;
ICCHP;International Conference on Computers Helping People with Special Needs;B1;
ICCL2;International Conference on Computational Logistics;B2;
ICCP;IEEE International Conference on Intelligent Computer Communication and Processing;A4;
ICCPR;International Conference on Computing and Pattern Recognition;B4;
ICCPS;International Conference on Cyber-Physical Systems;A2;
ICCS;International Conference on Computational Science;A4;
ICCSA;International Conference on Computational Science and Its Applications;A3;
ICCSPA;International Conference on Communications, Signal Processing, and their Applications;B4;
ICCStr;International Conference on Conceptual Structures;A2;
ICCTCC;International Conference on Computability Theory, Computability and Complexity;B3;
ICCV;IEEE International Conference on Computer Vision;A1;
ICCVW;IEEE International Conference on Computer Vision Workshops;B3;
ICCW;IEEE International Conference on Communications Workshops;B3;
ICDAR;International Conference on Document Analysis and Recognition;A1;
ICDCN;International Conference on Distributed Computing and Networking;A3;
ICDCS;International Conference on Distributed Computing Systems;A1;
ICDCSW;International Conference on Distributed Computing Systems Workshops;B4;
ICDE;IEEE International Conference on Data Engineering;A1;
ICDF;IFIP International Conference on Digital Forensics;A4;
ICDIM;International Conference on Digital Information Management;B2;
ICDIP;International Conference on Digital Image Processing;A4;
ICDL-EpiRob;IEEE International Conference on Development and Learning and Epigenetic Robotics;B4;
ICDM;IEEE International Conference on Data Mining;A1;
ICDMW;IEEE International Conference on Data Mining Workshop;B3;
ICDT;International Conference on Database Theory;A3;
ICE-CCN;International Conference on Emerging Trends in Computing, Communication and Nanotechnology;B4;
ICEBE;IEEE International Conference on e-Business Engineering;B1;
ICEC;IFIP International Conference on Entertainment Computing;A4;
ICECS;IEEE International Conference on Electronics, Circuits and Systems;B1;
ICEDEG;International Conference on eDemocracy & eGovernment;B1;
ICEGOV;International Conference on Theory and Practice of Eletronic Governance;A4;
ICEIS;International Conference on Enterprise Information Systems;A3;
ICER;International Computing Education Research;A2;
ICERI;International Conference of Education, Research and Innovation;B3;
ICFCA;International Conference on Formal Concept Analysis;B3;
ICFEM;International Conference on Formal Engineering Methods;A4;
ICFHR;International Conference on Frontiers in Handwriting Recognition;A3;
ICFNDS;International Conference on Future Networks and Distributed Systems;A4;
ICFP;International Conference on Functional Programming;B3;
ICGI;International Conference on Grammatical Inference;B3;
ICGJ;International Conference on Game Jams, Hackathons, and Game Creation Events;B1;
ICGSE;IEEE International Conference on Global Software Engineering;A4;
ICGT;International Conference on Graph Transformation;B1;
ICHI;IEEE International Conference on Healthcare Informatics;A3;
ICIAP;International Conference on Image Analysis and Processing;A3;
ICIAR;International Conference on Image Analysis and Recognition;A3;
ICIC;International Conference on Intelligent Computing;A4;
ICICS;International Conference on Information and Communications Security;B1;
ICICT;International Conference on Information and Computer Technologies;B2;
ICIDS;International Conference on Interactive Digital Storytelling;A3;
ICIIECS;International Conference on Innovations in Information, Embedded and Communication Systems;A4;
ICINCO;International Conference on Informatics in Control, Automation and Robotics;B1;
ICIOT;International Conference on the Internet of Things;A4;
ICIP;IEEE International Conference on Image Processing;A1;
ICIRA;International Conference on Intelligent Robotics and Applications;B1;
ICIS;International Conference on Information Systems;A2;
ICISC;International Conference on Information Security and Cryptology;B4;
ICISO;International Conference on Informatics and Semiotics in Organisations;B4;
ICISS;International Conference on Information Systems Security;B2;
ICIST;International Conference on Information and Software Technologies;B1;
ICIT;IEEE International Conference on Industrial Technology;A2;
ICITS;International Conference on Information Theoretic Security;B3;
ICITST;International Conference for Internet Technology and Secured Transactions;A4;
ICIVC;International Conference on Image, Vision and Computing;A4;
ICL;International Conference on Interactive Collaborative Learning;A4;
ICLP;International Conference on Logic Programming;A3;
ICLR;International Conference on Learning Representations;A1;
ICM;International Conference on Microelectronics;B1;
ICMA;IEEE International Conference on Mechatronics and Automation;A4;
ICMC;International Computer Music Conference;A4;
ICMCR;International Conference on Mechatronics, Control and Robotics;B4;
ICME;IEEE International Conference on Multimedia and Expo;A1;
ICMEW;IEEE International Conference on Multimedia and Expo Workshops;B3;
ICMI;ACM International Conference on Multimodal Interfaces;A2;
ICMIS;International Conference on Mathematics & Information Science;B4;
ICML;International Conference on Machine Learning;A1;
ICMLA;IEEE International Conference on Machine Learning and Applications;A2;
ICMLC;International Conference on Machine Learning and Computing;B1;
ICMPC;International Conference on Music Perception and Cognition;B3;
ICMR;ACM International Conference on Multimedia Retrieval;A2;
ICN-IARIA;IARIA International Conference on Networks;B4;
ICNC;International Conference on Computing, Networking and Communications;A2;
ICNC-FSKD;International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery;A4;
ICNP;International Conference on Network Protocols;A2;
ICNSC;IEEE International Conference on Networking, Sensing and Control;A4;
ICOIN;International Conference on Information Networking;A3;
ICOMPWC;International Conference on Internet Computing and Internet of Things;B3;
ICONIP;International Conference on Neural Information Processing;A2;
ICORES;International Conference on Operations Research and Enterprise Systems;B2;
ICORR;IEEE International Conference on Rehabilitation Robotics;A3;
ICPADS;International Conference on Parallel and Distributed Systems;A3;
ICPC;International Conference on Program Comprehension;A2;
ICPE;International Conference on Performance Engineering;A2;
ICPME;International Conference on Philosophy, Music and Emotion;B4;
ICPP;International Conference on Parallel Processing;A4;
ICPR;International Conference on Pattern Recognition;A1;
ICRA;IEEE International Conference on Robotics and Automation;A1;
ICRAE;International Conference on Robotics and Automation Engineering;B2;
ICRC;IEEE International Conference on Rebooting Computing;A4;
ICRES;International Conference on Robot Ethics and Standards;B4;
ICS;International Conference on Supercomputing;A3;
ICSC;International Conference on Semantic Computing;A3;
ICSE;International Conference on Software Engineering;A1;
ICSEA-IARIA;IARIA International Conference on Software Engineering Advances;B4;
ICSESS;International Conference on Software Engineering and Service Science;A4;
ICSEW;International Conference on Software Engineering Workshops;B3;
ICSI;International Conference on Swarm Intelligence;A4;
ICSIP;IEEE International Conference on Signal and Image Processing;A4;
ICSLE;International Conference on Smart Learning Environments;B3;
ICSME;IEEE International Conference on Software Maintenance and Evolution;A2;
ICSOB;International Conference on Software Business;B2;
ICSOC;International Conference on Service Oriented Computing;A3;
ICSOFT;International Conference on Software Technologies;B2;
ICSPCEC;International Conference on Signal Processing, Communication, Power and Embedded System;A4;
ICSR;International Conference on Software Reuse;B1;
ICST;International Conference on Sensing Technology;B1;
ICSTV;IEEE International Conference on Software Testing, Verification and Validation;A2;
ICSTW;IEEE International Conference on Software Testing, Verification and Validation Workshops;B3;
ICT;International Conference on Telecommunications;A3;
ICTAC;International Colloquium on Theoretical Aspects of Computing;A4;
ICTAI;IEEE International Conference on Tools with Artificial Intelligence;A3;
ICTC;International Conference on Information and Communication Technology Convergence;A3;
ICTCS;Italian Conference on Theoretical Computer Science;B3;
ICTIR;Conference on the Theory of Information Retrieval;A4;
ICTON;International Conference on Transparent Optical Networks;A4;
ICTSS;IFIP International Conference on Testing Software and Systems;B2;
ICUAS;International Conference on Unmanned Aircraft Systems;A2;
ICUMT;International Conference on Ultra Modern Telecommunications;A4;
ICVIIP;International Conference on Visualization: Imaging and Image Processing;B4;
ICVR;International Conference on Virtual Rehabilitation;B1;
ICVRV;International Conference on Virtual Reality and Visualization;B3;
ICVS;International Conference on Computer Vision Systems;B2;
ICWE;International Conference on Web Engineering;A3;
ICWL;International Conference on Web-Based Learning;B3;
ICWN;International Conference on Wireless Networks;A4;
ICWS;IEEE International Conference on Web Services;A3;
ICWSM;International AAAI Conference on Web and Social Media;A1;
IDC;International Symposium on Intelligent Distributed Computing;B2;
IDCS;International Conference on Internet and Distributed Computing Systems;B3;
IDEAS;International Database Engineering and Applications Symposium;A4;
IEAAIE;International Conference on Industrial Engineering & Other Applications of Appled Intelligence Systems;B1;
IECON;Annual Conference of the IEEE Industrial Electronics Society;A2;
IEEE IST;IEEE International Conference on Imaging Systems and Techniques;B4;
IEEE NANO;IEEE Conference on Nanotechnology;B2;
IEEE VIS;IEEE Visualization;A1;
IEEECloudS;IEEE Cloud Summit;B4;
IEEEISWC;IEEE International Symposium on Wearable Computers;A3;
IEEENANO;International Conference on Nanotechnology;B2;
IEEESCC;IEEE International Conference on Services Computing;B4;
IESS;IFIP International Embedded Systems Symposium;B2;
IESTEC;International Engineering, Sciences and Technology Conference;B2;
IFAC;World Congress of the International Federation of Automatic Control;A1;
IFIPIoT;IFIP International Internet of Things Conference;B4;
IFIPISC;IFIP International Information Security Conference;B2;
IFM;International Conference on Integrated Formal Methods;A3;
IFSA;World Congress of International Fuzzy Systems Association;B2;
IGSC;International Green and Sustainable Computing Conference;B1;
IH&MMSec;ACM Workshop on Information Hiding and Multimedia Security;A3;
IHC;Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais;A3;
IHM;Conférence Francophone sur l’Interaction Homme-Machine;B4;
IIH-MSP;International Conference on Intelligent Information Hiding and Multimedia Signal Processing;B3;
IISA;International Conference on Information, Intelligence, Systems and Applications;A4;
IISWC;IEEE International Symposium on Workload Characterization;A3;
IIWAS;International Conference on Information Integration and Web-based Applications & Services;B1;
IJCAI;International Joint Conference on Artificial Intelligence;A1;
IJCAR;International Joint Conference on Automated Reasoning;A3;
IJCCI;International Joint Conference on Computational Intelligence;B1;
IJCNLP;International Joint Conference on Natural Language Processing;A2;
IJCNN;IEEE International Joint Conference on Neural Networks;A1;
ILA;Interaction Latin America;B4;
ILP;International Conference on Inductive Logic Programming;B2;
IM;IFIP/IEEE International Symposium on Integrated Network Management;A3;
IMBSA;International Symposium on Model-Based Safety and Assessment;B3;
IMC;ACM Internet Measurement Conference;A1;
IMCOM;International Conference on Ubiquitous Information Management and Communication;B1;
IMIS;International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing;B1;
IMOC;SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference;B3;
INCOS;International Conference on Intelligent Networking and Collaborative Systems;A4;
INDIN;IEEE International Conference on Industrial Informatics;A3;
INDOCRYPT;International Conference on Cryptology in India;B1;
INDUSCON;International Conference on Industry Applications;B1;
INFOCOM;IEEE International Conference on Computer Communications;A1;
InfoVis;IEEE Information Visualization;B4;
INLG;International Natural Language Generation conference;A3;
INOC;International Network Optimization Conference;B4;
INSCIT;International Symposium on Instrumentation Systems, Circuits and Transducers;B3;
INTECH;International Conference on Innovative Computing Technology;A4;
INTELLISYS;SAI Intelligent Systems Conference;A4;
INTERACT;IFIP TC 13 International Conference on Human-Computer Interaction;A3;
INTERSPEECH;Conference of the International Speech Communication Association;A1;
INTESA;INTelligent Embedded Systems Architectures and Applications Workshop;B3;
IOLTS;IEEE International On-Line Testing Symposium;B1;
IoTAAL;Workshop on Internet of Things for Ambient Assisted Living;B4;
IoTBDS;International Conference on Internet of Things and Big Data and Security;A4;
IOTSMS;International Conference on Internet of Things: Systems, Management and Security;B2;
IPAW;International Provenance and Annotation Workshop;B2;
IPCCC;International Performance, Computing, and Communications Conference;A4;
IPCO;Conference on Integer Programming and Combinatorial Optimization;A3;
IPCVWC;International Conference on Image Processing, Computer Vision, and Pattern Recognition;B3;
IPDLN;International Population Data Linkage Network;B4;
IPDPS;IEEE International Parallel & Distributed Processing Symposium;A1;
IPDPSW;IEEE International Parallel & Distributed Processing Symposium Workshops;B3;
IPEC;International Symposium on Parameterized and Exact Computation;B1;
IPMU;International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems;B1;
IPSN;International Conference on Information Processing in Sensor Networks;A2;
IRC;IEEE International Conference on Robotic Computing;A4;
IRI;IEEE International Conference on Information Reuse and Integration;A3;
IRIS;IEEE International Symposium on Robotics and Intelligent Sensors;B2;
IROS;IEEE/RSJ International Conference on Intelligent Robots and Systems;A1;
ISAAC;International Symposium on Algorithms and Computation;A4;
ISADS;International Symposium on Autonomous Decentralized Systems;B4;
ISAM;IEEE International Symposium on Assembly and Manufacturing;B2;
ISAmI;International Symposium on Ambient Intelligence;B3;
ISAP;International Conference on Intelligent System Applications to Power Systems;B2;
ISAS;International Static Analysis Symposium;A3;
ISBI;IEEE International Symposium on Biomedical Imaging;A1;
ISBRA;International Symposium on Bioinformatics Research and Applications;B1;
ISC;International Supercomputing Conference;A3;
ISC2;IEEE International Smart Cities Conference;A3;
ISCA;International Symposium on Computer Architecture;A1;
ISCAS;IEEE International Symposium on Circuits and Systems;A1;
ISCC;International Symposium on Computers and Communications;A2;
ISCIS;International Symposium on Computer and Information Sciences;A3;
ISCO;International Symposium on Combinatorial Optimization;B3;
ISCRAM;International Conference on Information Systems for Crisis Response and Management;A4;
ISD;International Conference on Information Systems Development;B1;
ISDA;International Conference on Intelligent Systems Design and Applications;B1;
ISEA;International Symposium on Electronic Arts;B4;
ISeC;International Conference on Information Security;B2;
ISECON;Information Systems Education Conference;B2;
ISER;International Symposium on Experimental Robotics;A3;
ISGT;IEEE PES Innovative Smart Grid Technologies;A3;
ISGT-Europe;IEEE PES Innovative Smart Grid Technologies Conference Europe;A3;
ISGT-LA;IEEE PES Innovative Smart Grid Technologies Latin America;B2;
ISI;IEEE International Conference on Intelligence and Security Informatics;A3;
ISIE;IEEE International Symposium on Industrial Electronics;A3;
ISLPED;International Symposium on Low Power Electronics and Design;A3;
ISM;IEEE International Symposium on Multimedia;A3;
ISMAR;IEEE International Symposium on Mixed and Augmented Reality;A2;
ISMB/ECCB;Intelligent Systems for Molecular Biology / European Conference on Computational Biology;B3;
ISMCR;International Symposium on Measurement and Control in Robotics;B4;
ISMEM;International Symposium on Memory Management;B2;
ISMIR;International Society for Music Information Retrieval Conference;A1;
ISMIS;International Symposium on Methodologies for Intelligent Systems;B2;
ISMM;International Symposium on Mathematical Morphology;B1;
ISMR;International Symposium on Medical Robotics;B1;
ISMSI;International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence;B3;
ISMVL;IEEE International Symposium on Multiple-Valued Logic;B1;
ISNN;International Symposium on Neural Networks;A4;
ISOLA;International Symposium on Leveraging Applications of Formal Methods, Verification and Validation;A3;
ISORC;IEEE International Symposium on RealTime Distributed Computing;A4;
ISPASS;IEEE International Symposium on Performance Analysis of Systems and Software;A3;
ISPD;ACM International Symposium on Physical Design;A3;
ISPDC;International Symposium on Parallel and Distributed Computing;B2;
ISQED;International Symposium on Quality Electronic Design;A4;
ISR;IEEE International Conference on Intelligence and Safety for Robotics;B3;
ISRR;International Symposium on Robotics Research;B3;
ISS;ACM International Conference on Interactive Surfaces and Spaces;A3;
ISSA;Information Security for South Africa;B4;
ISSCC;IEEE International Solid-State Circuits Conference;A1;
ISSI;International Society of Scientometrics and Informetrics Conference;B2;
ISSRE;IEEE International Symposium on Software Reliability Engineering;A3;
ISSREW;IEEE International Symposium on Software Reliability Engineering Workshops;B3;
ISSTA;International Symposium on Software Testing and Analysis;A1;
ISTAR;International i*Workshop;B4;
ISVC;International Symposium on Visual Computing;A4;
ISVLSI;IEEE Computer Society Annual Symposium on VLSI;A3;
ISW;Information Security Conference;A4;
ISWC;International Semantic Web Conference;A1;
ISWCS;International Symposium on Wireless Communication Systems;A3;
ITC;International Test Conference;A4;
ITCS;Conference on Innovations in Theoretical Computer Science;A2;
ITDRR;Information Technology in Disaster Risk Reduction;B3;
ITHET;International Conference on Information Technology Based Higher Education and Training;B1;
ITICSE;Conference on Innovation and Technology in Computer Science Education;A3;
ITNG;International Conference on Information Technology : New Generations;B4;
ITP;International Conference on Interactive Theorem Proving;A3;
ITS;International Conference on Intelligent Tutoring Systems;A3;
ITSC;IEEE International Conference on Intelligent Transportation Systems;A1;
ITSS;Interactive Tabletops and Surfaces;B4;
IUI;International Conference on Intelligent User Interfaces;A1;
IV;International Conference on Information Visualization;B1;
IVA;International Conference on Intelligent Virtual Agents;A3;
IVAPP;International Conference on Information Visualization Theory and Applications;B2;
IWANN;International Work-Conference on Artificial Neural Networks;B1;
IWBBIO;International Work-Conference on Bioinformatics and Biomedical Engineering;A3;
IWBF;International Workshop on Biometrics and Forensics;A4;
IWCMC;International Wireless Communications and Mobile Computing Conference;A2;
IWCS;International Workshop on Computational Semantics;B4;
IWCTS;International Workshop on Computational Transportation Science;B2;
IWGS;ACM Workshop on GeoStreaming;B3;
IWOCA;International Workshop on Combinatorial Algorithms;B2;
IWOMP;International Workshop on OpenMP;B1;
IWS;Iberchip Workshop;B4;
IWSECO;International Workshop on Software Ecosystems;B3;
IWSSIP;International Conference on Systems, Signals and Image Processing;A3;
jAUTI;Iberoamerican Conference on Applications and Usability of Interactive TV;B4;
JCDL;ACM/IEEE Joint Conference on Digital Libraries;A3;
JCSG;Joint International Conference on Serious Games;B2;
JSSPP;Workshop on Job Scheduling Strategies for Parallel Processing;B3;
JURIX;International Conference on Legal Knowledge and Information Systems;B1;
KDD;ACM SIGKDD Conference on Knowledge Discovery and Data Mining;A1;
KDIR;International Conference on Knowledge Discovery and Information Retrieval;B1;
KDMILE;Symposium on Knowledge Discovery, Mining and Learning;B3;
KEPS;Workshop on Knowledge Engineering for Planning and Scheduling;B4;
KES;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems;B4;
KESAMSTA;International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications;B3;
KESW;International Conference on Knowledge Engineering and Semantic Web;B2;
KMO;International Conference on Knowledge Management in Organizations;B2;
KR;International Conference on Principles of Knowledge Representation and Reasoning;A3;
L@S;ACM Conference on Learning @ Scale;A2;
LA-CCI;Latin American Conference on Computational Intelligence;B2;
LAC;Linux Audio Conference;B2;
LACLO;Latin American Conference on Learning Objects and Technologies;B3;
LADC;Latin-American Symposium on Dependable Computing;A4;
LAGIRS;IEEE Latin American GRSS & ISPRS Remote Sensing Conference;B3;
LAGOS;Latin-American Algorithms, Graphs and Optimization Symposium;B4;
LAK;International Learning Analytics and Knowledge Conference;A1;
LANC;Latin American Networking Conference;B3;
LANMAN;IEEE International Symposium on Local and Metropolitan Area Networks;B1;
LANOMS;Latin American Network Operations and Management Symposium;B4;
LARS;IEEE Latin American Robotics Symposium;B1;
LASCAS;IEEE Latin American Symposium on Circuits and Systems;A4;
LATIN;Latin American Theoretical Informatics Symposium;A3;
LATINCLOUD;IEEE Latin America Conference on Cloud Computing and Communications;B4;
LATINCOM;IEEE Latin-American Conference on Communications;B1;
LATINCRYPT;International Conference on Cryptology and Information Security in Latin America;B2;
LATINOWARE;Congresso Latino-americano de Software Livre e Tecnologias Abertas;B4;
LATS;IEEE Latin American Test Symposium;B1;
LAW;Linguistic Annotation Workshop;A3;
LAWCG;Latin American Workshop on Cliques in Graphs;B4;
LAWCN;Latin-American Workshop on Computational Neuroscience;B4;
LAWEB;Latin American Web Congress;B4;
LCN;IEEE Conference on Local Computer Networks;A3;
LCTES;ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems;B1;
LCTRTS;ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Real-Time Systems;B4;
LDAV;IEEE Symposium on Large Data Analysis and Visualization;B4;
LFCS;Symposium on Logical Foundations of Computer Science;B2;
LICS;ACM/IEEE Symposium on Logic in Computer Science;A2;
LIDTA;Workshop on Learning with Imbalanced Domains: Theory and Applications;B2;
LINKDEM;Workshop on Linked Democracy : Artificial Intelligence for Democratic Innovation;B4;
LION;Learning and Intelligent Optimization Conference;B1;
LMCS;Logical Methods in Computer Science;A3;
LocalRec;International Workshop on Location-Based Recommendations, Geosocial Networks and Geoadvertising;B4;
LocWeb;International Workshop on Location and the Web;B3;
LoPaS;Location Privacy and Security Workshop;B4;
LOPSTR;International Symposium on Logic-based Program Synthesis and Transformation;B1;
LREC;International Conference on Language Resources and Evaluation;A1;
LSFA;International Workshop on Logical and Semantic Frameworks, with Applications;B3;
LTEC;International Workshop on Learning Technology for Education Challenges;B3;
M4IOT;Workshop on Middleware for Context-Aware Applications in the IoT;B4;
MABS;International Workshop on Multi-Agent Based Simulation;B3;
MANSDNNFV;International Workshop on Management of SDN and NFV Systems;B4;
MASCOTS;International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems;A4;
MASS;IEEE International Conference on Mobile Adhoc and Sensor Systems;A4;
MASS2;IEEE International Conference on Mobile Ad-Hoc and Smart Systems;B4;
MATES;German Conference on Multiagent System Technologies;B3;
MCDM;International Conference on Multiple Criteria Decision Making;B4;
MCM;International Conference on Mathematics and Computation in Music;B3;
MCPR2;Mexican Conference on Pattern Recognition;B3;
MCSoC;International Symposium on Embedded Multicore/Many-core Systems-on- Chip;B2;
MDAI;International Conference on Modeling Decisions for Artificial Intelligence;B2;
MDM;IEEE International Conference on Mobile Data Management;A3;
MED;Mediterranean Conference on Control and Automation;A3;
MedComNet;Mediterranean Communication and Computer Networking Conference;B4;
MEDES;International Conference on Management of Emergent Digital EcoSystems;B4;
MEDHOCNET;Mediterranean Ad Hoc Networking Workshop;A4;
MEDINFO;World Congress on Medical and Health Informatics;A2;
MEMEA;IEEE International Symposium on Medical Measurements and Applications;A4;
MEMSYS;International Symposium on Memory Systems;A4;
MEPDaW;Managing the Evolution and Preservation of the Data Web;B4;
MESA;IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications;B1;
META;International Workshop on Meta-Programming Techniques and Reflection;B4;
MetaLearn;Workshop on Meta-Learning;B4;
MFCS;International Symposium on Mathematical Foundations of Computer Science;A3;
MFI;IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems;B1;
MIC;Metaheuristics International Conference;B3;
MICAI;Mexican International Conference on Artificial Intelligence;B2;
MICRO;IEEE/ACM International Symposium on Microarchitecture;A1;
MIDDLEWARE;International Middleware Conference;A3;
MIE;Medical Informatics Europe;A2;
MIG;ACM Siggraph Conference on Motion in Games;A4;
MILCOM;Military Communications Conference;A2;
MISE;Workshop on Modeling in Software Engineering;B3;
MIXDES;International Conference on Mixed Design of Integrated Circuits and Systems;B2;
ML4H;Machine Learning for Health;B1;
MLDM;International Conference on Machine Learning and Data Mining in Pattern Recognition;B1;
MLOBD;International Workshop on Machine Learning, Optimization and Big Data;B2;
MLSP;IEEE International Workshop on Machine Learning for Signal Processing;A3;
MMAR;International Conference on Methods and Models in Automation and Robotics;A4;
MMM;International Conference on Multimedia Modelling;A3;
MMRP;International Workshop on Multilayer Music Representation and Processing;B2;
MMSP;International Workshop on Multimedia and Signal Processing;A3;
MMSYS;ACM Multimedia Systems Conference;A2;
MNR;Mostra Nacional de Robótica;B4;
MobiArch;Workshop on Mobility in the Evolving Internet Architecture;B3;
MOBICOM;ACM/IEEE International Conference on Mobile Computing and Networking;A1;
MOBIHOC;ACM International Symposium on Mobile Ad Hoc Networking and Computing;A2;
MOBILEHCI;International Conference on Human-Computer Interaction with Mobile Devices and Services;A2;
MOBILESOFT;International Conference on Mobile Software Engineering and Systems;A3;
MOBIQUITOUS;International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services;A4;
