issn;periodico;Ajuste_SBC;link_scopus;percentil;Qualis_Final;data-atualizacao;data-tentativa;logs
1571-0645;PHYSICS OF LIFE REVIEWS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13017;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0022-460X;JOURNAL OF SOUND AND VIBRATION;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13030;94;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0167-4412;PLANT MOLECULAR BIOLOGY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13042;92;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0010-4655;COMPUTER PHYSICS COMMUNICATIONS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13184;91;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0021-9991;JOURNAL OF COMPUTATIONAL PHYSICS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13191;96;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0020-7128;INTERNATIONAL JOURNAL OF BIOMETEOROLOGY (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13506;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0041-624X;ULTRASONICS (GUILDFORD);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13516;91;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1384-5810;DATA MINING AND KNOWLEDGE DISCOVERY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13579;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1573-756X;DATA MINING AND KNOWLEDGE DISCOVERY (DORDRECHT. ONLINE);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13579;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0924-4247;SENSORS AND ACTUATORS. A, PHYSICAL;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13660;92;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0001-0782;COMMUNICATIONS OF THE ACM;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13675;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0957-5820;PROCESS SAFETY AND ENVIRONMENTAL PROTECTION;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13754;96;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0092-8240;BULLETIN OF MATHEMATICAL BIOLOGY (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13845;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0951-8320;RELIABILITY ENGINEERING & SYSTEMS SAFETY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13853;97;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0924-8463;ARTIFICIAL INTELLIGENCE AND LAW (DORDRECHT. PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13880;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0003-6870;APPLIED ERGONOMICS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=13929;92;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1535-9484;MOLECULAR & CELLULAR PROTEOMICS (ONLINE);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=14151;91;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0894-0282;MOLECULAR PLANT-MICROBE INTERACTIONS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=14161;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0305-1048;NUCLEIC ACIDS RESEARCH;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=14204;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1467-6370;INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=144819;92;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1867-0202;BUSINESS & INFORMATION SYSTEMS ENGINEERING;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=14490;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1551-3203;IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=144912;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1360-2357;EDUCATION AND INFORMATION TECHNOLOGIES;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=144955;95;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1094-6705;JOURNAL OF SERVICE RESEARCH;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=144974;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1463-7154;BUSINESS PROCESS MANAGEMENT JOURNAL;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=145291;91;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1435-5558;COGNITION, TECHNOLOGY & WORK (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=145523;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0967-0769;INTERNATIONAL JOURNAL OF LAW AND INFORMATION TECHNOLOGY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=145600;94;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1614-2942;TREE GENETICS & GENOMES (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=145623;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1574-020X;LANGUAGE RESOURCES AND EVALUATION;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=145663;95;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1049-4820;INTERACTIVE LEARNING ENVIRONMENTS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=145681;96;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1554-351X;BEHAVIOR RESEARCH METHODS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=146223;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0040-1625;TECHNOLOGICAL FORECASTING & SOCIAL CHANGE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=14704;97;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0740-624X;GOVERNMENT INFORMATION QUARTERLY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=14735;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0300-5771;INTERNATIONAL JOURNAL OF EPIDEMIOLOGY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=14750;90;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0278-6125;JOURNAL OF MANUFACTURING SYSTEMS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=14966;97;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1530-437X;IEEE SENSORS JOURNAL;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15047;90;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0308-521X;AGRICULTURAL SYSTEMS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15061;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0263-8223;COMPOSITE STRUCTURES;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15063;94;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0018-9448;IEEE TRANSACTIONS ON INFORMATION THEORY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15107;91;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1386-4564;INFORMATION RETRIEVAL (BOSTON);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15133;90;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0020-0255;INFORMATION SCIENCES;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15134;95;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0197-2243;INFORMATION SOCIETY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15136;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0969-9988;ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15249;96;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0263-2241;MEASUREMENT (LONDON. PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15424;95;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0013-9580;EPILEPSIA (COPENHAGEN);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15510;90;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0940-1334;EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15546;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
