ISSN UNIFICADO;ISSN;TÍTULO;ID ÁREA MÃE ;ÁREA MÃE
;2326-957X;INTERNATIONAL JOURNAL OF ENERGY AND POWER ENGINEERING;14;ENGENHARIAS IV
;2327-4662;IEEE INTERNET OF THINGS JOURNAL;14;ENGENHARIAS IV
;2327-5634;SAE INTERNATIONAL JOURNAL OF TRANSPORTATION SAFETY;14;ENGENHARIAS IV
;2327-5901;JOURNAL OF POWER AND ENERGY ENGINEERING;14;ENGENHARIAS IV
;2327-9125;PHOTONICS RESEARCH;14;ENGENHARIAS IV
;2329-423X;NEUROPHOTONICS;14;ENGENHARIAS IV
;2329-9274;IEEE-CAA JOURNAL OF AUTOMATICA SINICA;14;ENGENHARIAS IV
;2329-9290;IEEE/ACM TRANSACTIONS ON AUDIO, SPEECH AND LANGUAGE PROCESSING;14;ENGENHARIAS IV
;2331-6071;COMPUTER SCIENCE AND INFORMATION TECHNOLOGY;14;ENGENHARIAS IV
;2332-7731;IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING;14;ENGENHARIAS IV
;2332-7782;IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION;14;ENGENHARIAS IV
;2333-6625;CLINICAL RESEARCH IN PULMONOLOGY;14;ENGENHARIAS IV
;2333-9403;IEEE TRANSACTIONS ON COMPUTATIONAL IMAGING (ONLINE);14;ENGENHARIAS IV
;2334-2307;JOURNAL OF NEUROLOGICAL DISORDERS AND STROKE;14;ENGENHARIAS IV
;2347-6982;INTERNATIONAL JOURNAL OF INDUSTRIAL ELETRONICS ENGINEERING;14;ENGENHARIAS IV
;2348-3423;INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN PHYSICS AND APPLIED SCIENCES;14;ENGENHARIAS IV
;2352-152X;JOURNAL OF ENERGY STORAGE;14;ENGENHARIAS IV
;2352-4677;SUSTAINABLE ENERGY, GRIDS AND NETWORKS;14;ENGENHARIAS IV
;2352-7110;SOFTWAREX;14;ENGENHARIAS IV
;2352-8230;PHILOSOPHIA REFORMATA;14;ENGENHARIAS IV
;2358-1271;REVISTA ELETRÔNICA ENGENHARIA VIVA;14;ENGENHARIAS IV
;2358-4696;PAN AMERICAN JOURNAL OF MEDICAL THERMOLOGY;14;ENGENHARIAS IV
;2364-4966;GRANULAR COMPUTING;14;ENGENHARIAS IV
;2371-1671;FACETS;14;ENGENHARIAS IV
;2373-776X;IEEE TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING OVER NETWORKS;14;ENGENHARIAS IV
;2375-6314;AEROSPACE MEDICINE AND HUMAN PERFORMANCE;14;ENGENHARIAS IV
;2376-3639;ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS;14;ENGENHARIAS IV
;2377-9292;JOURNAL OF CANCER SCIENCES;14;ENGENHARIAS IV
;2378-0967;APL PHOTONICS;14;ENGENHARIAS IV
;2379-8920;IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS;14;ENGENHARIAS IV
;2381-1137;INTERNATIONAL JOURNAL OF WIRELESS COMMUNICATIONS, NETWORKING AND MOBILE COMPUTING;14;ENGENHARIAS IV
;2381-7259;INTERNATIONAL JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT;14;ENGENHARIAS IV
;2394-0050;IOSR JOURNAL OF MOBILE COMPUTING & APPLICATION;14;ENGENHARIAS IV
;2397-7264;HIGH VOLTAGE;14;ENGENHARIAS IV
;2405-6561;PETROLEUM;14;ENGENHARIAS IV
;2413-9203;TRANSPORTATION SYSTEMS AND TECHNOLOGY;14;ENGENHARIAS IV
;2415-6698;ADVANCES IN SCIENCE, TECHNOLOGY AND ENGINEERING SYSTEMS JOURNAL;14;ENGENHARIAS IV
;2422-2208;REVISTA CINTEX;14;ENGENHARIAS IV
2424-9238;2424-922X;ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS;14;ENGENHARIAS IV
1517-3151;2446-4740;RESEARCH ON BIOMEDICAL ENGINEERING;14;ENGENHARIAS IV
;2446-9246;SET INTERNATIONAL JOURNAL OF BROADCAST ENGINEERING;14;ENGENHARIAS IV
;2447-1615;FOTOVOLT;14;ENGENHARIAS IV
;2454-6143;INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN MULTIDISCIPLINARY STUDIES;14;ENGENHARIAS IV
;2456-043X;INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE AND GENERIC RESEARCH;14;ENGENHARIAS IV
;2468-0672;HARDWAREX;14;ENGENHARIAS IV
;2468-2322;CAAI TRANSACTIONS ON INTELLIGENCE TECHNOLOGY;14;ENGENHARIAS IV
;2468-6018;IFAC JOURNAL OF SYSTEMS AND CONTROL;14;ENGENHARIAS IV
;2473-2400;IEEE TRANSACTIONS ON GREEN COMMUNICATIONS AND NETWORKING;14;ENGENHARIAS IV
;2474-7610;ORGANIC AND MEDICINAL CHEMISTRY INTERNATIONAL JOURNAL;14;ENGENHARIAS IV
;2475-1456;IEEE CONTROL SYSTEMS LETTERS;14;ENGENHARIAS IV
;2475-1472;IEEE SENSORS LETTERS;14;ENGENHARIAS IV
;2475-5559;INTERNATIONAL JOURNAL OF PETROCHEMICAL SCIENCE & ENGINEERING;14;ENGENHARIAS IV
;2501-1235;EUROPEAN JOURNAL OF PHYSICAL EDUCATION AND SPORT SCIENCE;14;ENGENHARIAS IV
;2504-0537;FRONTIERS IN RESEARCH METRICS AND ANALYTICS;14;ENGENHARIAS IV
;2504-446X;DRONES;14;ENGENHARIAS IV
;2515-2947;IET SMART GRID;14;ENGENHARIAS IV
;2516-3914;COMPOSANTS NANOE´LECTRONIQUES;14;ENGENHARIAS IV
;2518-7147;NAUKOVÌ PRACÌ ONAZ ÌM. O.S. POPOVA (ONLINE);14;ENGENHARIAS IV
;2520-8942;ENERGY INFORMATICS;14;ENGENHARIAS IV
;2524-4469;BMC ENERGY;14;ENGENHARIAS IV
;2535-0897;BIODIVERSITY INFORMATION SCIENCE AND STANDARDS;14;ENGENHARIAS IV
;2561-178X;MECHATRONIC SYSTEMS AND CONTROL;14;ENGENHARIAS IV
;2572-004X;MEDICAL TECHNOLOGIES JOURNAL;14;ENGENHARIAS IV
;2572-1046;SAE INTERNATIONAL JOURNAL OF TRANSPORTATION CYBERSECURITY AND PRIVACY;14;ENGENHARIAS IV
;2573-2838;INTERNATIONAL JOURNAL OF BIOSENSORS & BIOELECTRONICS;14;ENGENHARIAS IV
;2573-9603;IEEE SOLID-STATE CIRCUITS LETTERS;14;ENGENHARIAS IV
;2576-4519;MOJ APPLIED BIONICS AND BIOMECHANICS;14;ENGENHARIAS IV
;2577-7920;JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY APPLICATIONS;14;ENGENHARIAS IV
;2578-0379;SURGICAL MEDICINE OPEN ACCESS JOURNAL;14;ENGENHARIAS IV
;2578-2762;GLOBAL CLINICAL ENGINEERING JOURNAL;14;ENGENHARIAS IV
;2578-2967;JOURNAL OF CANCER TREATMENT AND DIAGNOSIS;14;ENGENHARIAS IV
;2578-4862;ENERGY STORAGE;14;ENGENHARIAS IV
;2578-7519;OSA CONTINUUM;14;ENGENHARIAS IV
;2580-779X;INTERNATIONAL JOURNAL OF SMART GRID AND SUSTAINABLE ENERGY TECHNOLOGIES;14;ENGENHARIAS IV
;2582-3361;JOURNAL OF PHYSICS AND CHEMISTRY RESEARCH;14;ENGENHARIAS IV
;2584-4873;ANNALS OF DISASTER RISK SCIENCES;14;ENGENHARIAS IV
0329-5257;2591-376X;REVISTA ARGENTINA DE BIOINGENIERÍA;14;ENGENHARIAS IV
2318-4531;2594-3553;JOURNAL OF APPLIED INSTRUMENTATION AND CONTROL;14;ENGENHARIAS IV
;2595-3230;JOURNAL OF MECHATRONICS ENGINEERING;14;ENGENHARIAS IV
;2595-9573;JOURNAL OF PRODUCTION AND AUTOMATION;14;ENGENHARIAS IV
;2596-0253;REVISTA ARTIGOS.COM;14;ENGENHARIAS IV
;2596-0865;REVISTA INTEGRAÇÃO ENGENHARIA;14;ENGENHARIAS IV
;2616-8375;ITU JOURNAL;14;ENGENHARIAS IV
1861-2121;2626-8493;INTERNATIONAL JOURNAL OF ONLINE AND BIOMEDICAL ENGINEERING (IJOE);14;ENGENHARIAS IV
;2630-5046;JOURNAL OF AUTONOMOUS INTELLIGENCE;14;ENGENHARIAS IV
;2631-5548;INTERNATIONAL MARINE ENERGY JOURNAL;14;ENGENHARIAS IV
;2644-125X;IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY;14;ENGENHARIAS IV
;2644-1314;IEEE OPEN JOURNAL OF POWER ELECTRONICS;14;ENGENHARIAS IV
;2673-4591;ENGINEERING PROCEEDINGS;14;ENGENHARIAS IV
;2687-9735;IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN INDUSTRIAL ELECTRONICS;14;ENGENHARIAS IV
;2699-9293;ADVANCED PHOTONICS RESEARCH;14;ENGENHARIAS IV
;2717-5677;FINE CHEMICAL ENGINEERING;14;ENGENHARIAS IV
;2736-576X;EUROPEAN JOURNAL OF ENGINEERING AND TECHNOLOGY RESEARCH;14;ENGENHARIAS IV
;0001-2998;SEMINARS IN NUCLEAR MEDICINE;15;MEDICINA I
;0001-4079;BULLETIN DE L'ACADÉMIE NATIONALE DE MÉDECINE;15;MEDICINA I
;0001-5555;ACTA DERMATO-VENEREOLOGICA;15;MEDICINA I
;0001-5652;HUMAN HEREDITY;15;MEDICINA I
;0001-5792;ACTA HAEMATOLOGICA;15;MEDICINA I
;0001-6314;ACTA NEUROLOGICA SCANDINAVICA;15;MEDICINA I
;0001-6837;ACTA POLONIAE PHARMACEUTICA: DRUG RESEARCH;15;MEDICINA I
1578-2190;0001-7310;ACTAS DERMO-SIFILIOGRÁFICAS (ED. IMPRESA);15;MEDICINA I
;0002-0729;AGE AND AGEING;15;MEDICINA I
;0002-8703;THE AMERICAN HEART JOURNAL;15;MEDICINA I
;0002-9149;THE AMERICAN JOURNAL OF CARDIOLOGY;15;MEDICINA I
;0002-9173;AMERICAN JOURNAL OF CLINICAL PATHOLOGY;15;MEDICINA I
;0002-9270;THE AMERICAN JOURNAL OF GASTROENTEROLOGY;15;MEDICINA I
;0002-9343;THE AMERICAN JOURNAL OF MEDICINE;15;MEDICINA I
2163-5773;0002-9513;THE AMERICAN JOURNAL OF PHYSIOLOGY;15;MEDICINA I
;0002-9629;THE AMERICAN JOURNAL OF THE MEDICAL SCIENCES (PRINT);15;MEDICINA I
;0003-1348;THE AMERICAN SURGEON;15;MEDICINA I
;0003-2409;ANAESTHESIA (LONDON. PRINT);15;MEDICINA I
0889-8537;0003-2999;ANESTHESIA AND ANALGESIA;15;MEDICINA I
;0003-3022;ANESTHESIOLOGY (PHILADELPHIA);15;MEDICINA I
;0003-3197;ANGIOLOGY (ROSLYN, N.Y.);15;MEDICINA I
;0003-4266;ANNALES D'ENDOCRINOLOGIE;15;MEDICINA I
;0003-4819;ANNALS OF INTERNAL MEDICINE;15;MEDICINA I
;0003-4894;THE ANNALS OF OTOLOGY, RHINOLOGY & LARYNGOLOGY;15;MEDICINA I
;0003-4932;ANNALS OF SURGERY;15;MEDICINA I
1468-2060;0003-4967;ANNALS OF THE RHEUMATIC DISEASES;15;MEDICINA I
;0003-4975;THE ANNALS OF THORACIC SURGERY;15;MEDICINA I
1678-4219;0004-2803;ARQUIVOS DE GASTROENTEROLOGIA (IMPRESSO);15;MEDICINA I
;0004-5632;ANNALS OF CLINICAL BIOCHEMISTRY;15;MEDICINA I
;0004-8380;AUSTRALASIAN JOURNAL OF DERMATOLOGY (PRINT);15;MEDICINA I
1528-0020;0006-4971;BLOOD (PHILADELPHIA, PA);15;MEDICINA I
;0007-0912;BRITISH JOURNAL OF ANAESTHESIA;15;MEDICINA I
1365-2133;0007-0963;BRITISH JOURNAL OF DERMATOLOGY (1951. PRINT);15;MEDICINA I
1365-2141;0007-1048;BRITISH JOURNAL OF HAEMATOLOGY (PRINT);15;MEDICINA I
1365-2168;0007-1323;BRITISH JOURNAL OF SURGERY (PRINT);15;MEDICINA I
;0007-5027;LABORATORY MEDICINE;15;MEDICINA I
1097-0142;0008-543X;CANCER (PRINT);15;MEDICINA I
;0008-5472;CANCER RESEARCH (CHICAGO, ILL.);15;MEDICINA I
1421-9751;0008-6312;CARDIOLOGY (BASEL);15;MEDICINA I
1524-4539;0009-7322;CIRCULATION (NEW YORK, N.Y.);15;MEDICINA I
;0009-9120;CLINICAL BIOCHEMISTRY;15;MEDICINA I
;0009-9147;CLINICAL CHEMISTRY (BALTIMORE, MD.);15;MEDICINA I
;0009-9163;CLINICAL GENETICS;15;MEDICINA I
;0011-3905;CURRENT SCIENCE (MIDDLETOWN);15;MEDICINA I
1365-4632;0011-9059;INTERNATIONAL JOURNAL OF DERMATOLOGY;15;MEDICINA I
;0012-0472;DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT;15;MEDICINA I
;0012-1622;DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY (PRINT);15;MEDICINA I
;0012-1797;DIABETES (NEW YORK, N.Y.);15;MEDICINA I
;0012-186X;DIABETOLOGIA (BERLIN);15;MEDICINA I
;0012-2823;DIGESTION (BASEL);15;MEDICINA I
;0012-3692;CHEST (AMERICAN COLLEGE OF CHEST PHYSICIANS);15;MEDICINA I
1530-0358;0012-3706;DISEASES OF THE COLON & RECTUM;15;MEDICINA I
1528-1167;0013-9580;EPILEPSIA (COPENHAGEN);15;MEDICINA I
1421-9913;0014-3022;EUROPEAN NEUROLOGY;15;MEDICINA I
;0014-4800;EXPERIMENTAL AND MOLECULAR PATHOLOGY (PRINT);15;MEDICINA I
;0016-5085;GASTROENTEROLOGY (NEW YORK, N.Y. 1943);15;MEDICINA I
;0017-0011;GINEKOLOGIA POLSKA;15;MEDICINA I
;0017-5749;GUT (LONDON);15;MEDICINA I
1439-4286;0018-5043;HORMONE AND METABOLIC RESEARCH;15;MEDICINA I
;0020-5907;INTERNATIONAL ANESTHESIOLOGY CLINICS;15;MEDICINA I
;0021-9150;ATHEROSCLEROSIS (AMSTERDAM);15;MEDICINA I
;0021-9525;THE JOURNAL OF CELL BIOLOGY;15;MEDICINA I
;0021-972X;THE JOURNAL OF CLINICAL ENDOCRINOLOGY AND METABOLISM;15;MEDICINA I
;0021-9738;THE JOURNAL OF CLINICAL INVESTIGATION;15;MEDICINA I
1472-4146;0021-9746;JOURNAL OF CLINICAL PATHOLOGY;15;MEDICINA I
;0022-0736;JOURNAL OF ELECTROCARDIOLOGY (PRINT);15;MEDICINA I
;0022-2275;JOURNAL OF LIPID RESEARCH (PRINT);15;MEDICINA I
;0022-3050;JOURNAL OF NEUROLOGY, NEUROSURGERY AND PSYCHIATRY;15;MEDICINA I
1573-6571;0022-4197;JOURNAL OF RELIGION AND HEALTH;15;MEDICINA I
1096-9098;0022-4790;JOURNAL OF SURGICAL ONCOLOGY (PRINT);15;MEDICINA I
1878-5883;0022-510X;JOURNAL OF THE NEUROLOGICAL SCIENCES;15;MEDICINA I
1527-3792;0022-5347;THE JOURNAL OF UROLOGY;15;MEDICINA I
;0022-9040;KARDIOLOGIÂ / CARDIOLOGY (MOSKVA);15;MEDICINA I
;0024-4201;LIPIDS;15;MEDICINA I
;0024-7766;LYMPHOLOGY;15;MEDICINA I
1942-5546;0025-6196;MAYO CLINIC PROCEEDINGS;15;MEDICINA I
;0025-7931;RESPIRATION (BASEL);15;MEDICINA I
1536-5964;0025-7974;MEDICINE (BALTIMORE, MD.);15;MEDICINA I
1532-8600;0026-0495;METABOLISM, CLINICAL AND EXPERIMENTAL (PRINT);15;MEDICINA I
;0026-1270;METHODS OF INFORMATION IN MEDICINE;15;MEDICINA I
;0026-2862;MICROVASCULAR RESEARCH (PRINT);15;MEDICINA I
;0026-4725;MINERVA CARDIOANGIOLOGICA (TESTO STAMPATO);15;MEDICINA I
;0026-4733;MINERVA CHIRURGICA (TESTO STAMPATO);15;MEDICINA I
;0026-4784;MINERVA GINECOLOGICA (TESTO STAMPATO);15;MEDICINA I
;0026-4806;MINERVA MEDICA: A JOURNAL ON INTERNAL MEDICINE;15;MEDICINA I
;0028-3770;NEURO-CHIRURGIE (PARIS);15;MEDICINA I
1423-0194;0028-3835;NEUROENDOCRINOLOGY (BASEL);15;MEDICINA I
;0028-3886;NEUROLOGY INDIA;15;MEDICINA I
;0028-3940;NEURORADIOLOGY (BERLIN. PRINT);15;MEDICINA I
1533-4406;0028-4793;NEW ENGLAND JOURNAL OF MEDICINE (PRINT);15;MEDICINA I
;0029-7844;OBSTETRICS AND GYNECOLOGY (NEW YORK. 1953);15;MEDICINA I
1423-0232;0030-2414;ONCOLOGY (BASEL);15;MEDICINA I
;0031-0808;PANMINERVA MEDICA (TESTO STAMPATO);15;MEDICINA I
1432-1041;0031-6970;EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY;15;MEDICINA I
;0032-3772;POLISH ARCHIVES OF INTERNAL MEDICINE;15;MEDICINA I
;0032-5481;POSTGRADUATE MEDICINE;15;MEDICINA I
1423-0348;0033-3190;PSYCHOTHERAPY AND PSYCHOSOMATICS;15;MEDICINA I
;0033-7587;RADIATION RESEARCH;15;MEDICINA I
;0034-8376;REVISTA DE INVESTIGACIÓN CLÍNICA;15;MEDICINA I
;0035-0362;REVISTA PAULISTA DE MEDICINA;15;MEDICINA I
;0039-2499;STROKE (DALLAS. 1970);15;MEDICINA I
;0039-6060;SURGERY;15;MEDICINA I
;0040-6376;THORAX;15;MEDICINA I
;0041-1337;TRANSPLANTATION;15;MEDICINA I
;0041-1345;TRANSPLANTATION PROCEEDINGS;15;MEDICINA I
;0042-9007;VOX SANGUINIS (BASEL. 1956);15;MEDICINA I
;0043-5325;WIENER KLINISCHE WOCHENSCHRIFT;15;MEDICINA I
;0044-5592;A. RIVISTA ANARCHICA;15;MEDICINA I
;0046-8177;HUMAN PATHOLOGY (PRINT);15;MEDICINA I
2191-0308;0048-7554;REVIEWS ON ENVIRONMENTAL HEALTH;15;MEDICINA I
;0049-0172;SEMINARS IN ARTHRITIS AND RHEUMATISM (PRINT);15;MEDICINA I
;0049-3848;THROMBOSIS RESEARCH;15;MEDICINA I
;0065-2423;ADVANCES IN CLINICAL CHEMISTRY;15;MEDICINA I
;0065-2598;ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY;15;MEDICINA I
1678-4170;0066-782X;ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO);15;MEDICINA I
;0071-1365;ESSAYS IN BIOCHEMISTRY;15;MEDICINA I
;0076-6879;METHODS IN ENZYMOLOGY (PRINT);15;MEDICINA I
1749-6632;0077-8923;ANNALS OF THE NEW YORK ACADEMY OF SCIENCES;15;MEDICINA I
;0085-2538;KIDNEY INTERNATIONAL;15;MEDICINA I
1530-0293;0090-3493;CRITICAL CARE MEDICINE;15;MEDICINA I
;0090-8258;GYNECOLOGIC ONCOLOGY (PRINT);15;MEDICINA I
;0091-2174;INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE (PRINT);15;MEDICINA I
;0091-2751;JOURNAL OF CLINICAL ULTRASOUND (PRINT);15;MEDICINA I
;0091-4916;JOURNAL OF NUCLEAR MEDICINE TECHNOLOGY;15;MEDICINA I
;0092-8674;CELL (CAMBRIDGE);15;MEDICINA I
;0094-6176;SEMINARS IN THROMBOSIS AND HEMOSTASIS (PRINT);15;MEDICINA I
;0097-8418;ACM SIGCSE BULLETIN;15;MEDICINA I
;0099-1767;JOURNAL OF EMERGENCY NURSING;15;MEDICINA I
;0100-2929;PERSPECTIVAS MÉDICAS (FMJ);15;MEDICINA I
1414-431X;0100-879X;BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (IMPRESSO);15;MEDICINA I
2175-8239;0101-2800;JORNAL BRASILEIRO DE NEFROLOGIA;15;MEDICINA I
;0101-7772;GED. GASTROENTEROLOGIA E ENDOSCOPIA DIGESTIVA;15;MEDICINA I
;0102-2105;REVISTA AMRIGS;15;MEDICINA I
1678-9741;0102-7638;REVISTA BRASILEIRA DE CIRURGIA CARDIOVASCULAR (IMPRESSO);15;MEDICINA I
;0102-843X;AMB (SÃO PAULO);15;MEDICINA I
1982-4335;0103-507X;REVISTA BRASILEIRA DE TERAPIA INTENSIVA (IMPRESSO);15;MEDICINA I
;0103-5118;JORNAL BRASILEIRO DE NEUROCIRURGIA;15;MEDICINA I
;0103-8559;REVISTA DA SOCIEDADE DE CARDIOLOGIA DO ESTADO DE SAO PAULO;15;MEDICINA I
2179-8397;0104-1843;REVISTA BRASILEIRA DE CARDIOLOGIA INVASIVA;15;MEDICINA I
1806-9282;0104-4230;REVISTA DA ASSOCIAÇÃO MÉDICA BRASILEIRA;15;MEDICINA I
;0104-7752;REVISTA DE ANGIOLOGIA E CIRURGIA VASCULAR;15;MEDICINA I
;0104-7922;A AGUA EM REVISTA;15;MEDICINA I
;0104-8317;REVISTA BRASILEIRA E LATINO - AMERICANA DE MARCAPASSO E ARRITMIA;15;MEDICINA I
1398-9995;0105-4538;ALLERGY (COPENHAGEN);15;MEDICINA I
;0120-5633;REVISTA COLOMBIANA DE CARDIOLOGIA;15;MEDICINA I
;0120-9957;REVISTA COLOMBIANA DE GASTROENTEROLOGIA;15;MEDICINA I
;0142-159X;MEDICAL TEACHER (1979. PRINT);15;MEDICINA I
1460-2180;0143-3334;CARCINOGENESIS (NEW YORK. PRINT);15;MEDICINA I
;0143-3636;NUCLEAR MEDICINE COMMUNICATIONS;15;MEDICINA I
1573-4935;0144-8463;BIOSCIENCE REPORTS;15;MEDICINA I
;0145-2126;LEUKEMIA RESEARCH;15;MEDICINA I
;0145-5613;EAR, NOSE, & THROAT JOURNAL;15;MEDICINA I
;0147-0272;CURRENT PROBLEMS IN CANCER;15;MEDICINA I
;0147-5185;THE AMERICAN JOURNAL OF SURGICAL PATHOLOGY;15;MEDICINA I
;0147-8389;PACING AND CLINICAL ELECTROPHYSIOLOGY (PRINT);15;MEDICINA I
;0147-9563;HEART & LUNG;15;MEDICINA I
1097-4598;0148-639X;MUSCLE & NERVE (PRINT);15;MEDICINA I
;0149-2918;CLINICAL THERAPEUTICS;15;MEDICINA I
1935-5548;0149-5992;DIABETES CARE;15;MEDICINA I
1932-8737;0160-9289;CLINICAL CARDIOLOGY (MAHWAH, N.J.);15;MEDICINA I
;0161-5505;THE JOURNAL OF NUCLEAR MEDICINE (1978);15;MEDICINA I
1550-9109;0161-8105;SLEEP (NEW YORK, N.Y.);15;MEDICINA I
;0163-2116;DIGESTIVE DISEASES AND SCIENCES;15;MEDICINA I
;0163-4356;THERAPEUTIC DRUG MONITORING (PRINT);15;MEDICINA I
;0163-4453;THE JOURNAL OF INFECTION;15;MEDICINA I
1532-7914;0163-5581;NUTRITION AND CANCER;15;MEDICINA I
;0163-769X;ENDOCRINE REVIEWS;15;MEDICINA I
;0165-8107;NEURO-OPHTHALMOLOGY (AEOLUS PRESS. 1980);15;MEDICINA I
;0167-482X;JOURNAL OF PSYCHOSOMATIC OBSTETRICS AND GYNAECOLOGY;15;MEDICINA I
;0167-4889;BIOCHIMICA ET BIOPHYSICA ACTA. MOLECULAR CELL RESEARCH;15;MEDICINA I
;0167-5273;INTERNATIONAL JOURNAL OF CARDIOLOGY (PRINT);15;MEDICINA I
1573-7373;0167-594X;JOURNAL OF NEURO-ONCOLOGY;15;MEDICINA I
1573-7217;0167-6806;BREAST CANCER RESEARCH AND TREATMENT;15;MEDICINA I
;0167-6830;ORBIT (AMSTERDAM);15;MEDICINA I
1573-0646;0167-6997;INVESTIGATIONAL NEW DRUGS;15;MEDICINA I
;0167-8140;RADIOTHERAPY AND ONCOLOGY;15;MEDICINA I
;0168-8227;DIABETES RESEARCH AND CLINICAL PRACTICE (PRINT);15;MEDICINA I
;0168-8278;JOURNAL OF HEPATOLOGY;15;MEDICINA I
;0169-5002;LUNG CANCER;15;MEDICINA I
;0171-5216;JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY;15;MEDICINA I
;0171-6425;THE THORACIC AND CARDIOVASCULAR SURGEON;15;MEDICINA I
1432-1971;0172-0643;PEDIATRIC CARDIOLOGY (JOURNAL. PRINT);15;MEDICINA I
1437-160X;0172-8172;RHEUMATOLOGY INTERNATIONAL (BERLIN. PRINT);15;MEDICINA I
1432-0460;0179-051X;DYSPHAGIA (NEW YORK. PRINT);15;MEDICINA I
;0179-1958;INTERNATIONAL JOURNAL OF COLORECTAL DISEASE (PRINT);15;MEDICINA I
;0188-4409;ARCHIVES OF MEDICAL RESEARCH;15;MEDICINA I
1097-6787;0190-9622;JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY;15;MEDICINA I
;0191-9601;PEDIATRICS IN REVIEW;15;MEDICINA I
1539-2031;0192-0790;JOURNAL OF CLINICAL GASTROENTEROLOGY;15;MEDICINA I
1533-1601;0192-6233;TOXICOLOGIC PATHOLOGY (PRINT);15;MEDICINA I
1533-0311;0193-1091;THE AMERICAN JOURNAL OF DERMATOPATHOLOGY (PRINT);15;MEDICINA I
1522-9645;0195-668X;EUROPEAN HEART JOURNAL;15;MEDICINA I
;0196-0709;AMERICAN JOURNAL OF OTOLARYNGOLOGY (PRINT);15;MEDICINA I
;0210-0010;REVISTA DE NEUROLOGÍA (ED. IMPRESA);15;MEDICINA I
;0210-4806;ACTAS UROLÓGICAS ESPAÑOLAS;15;MEDICINA I
;0210-5691;MEDICINA INTENSIVA (MADRID. ED. IMPRESA);15;MEDICINA I
;0210-5705;GASTROENTEROLOGÍA Y HEPATOLOGÍA (ED. IMPRESA);15;MEDICINA I
;0211-6995;NEFROLOGÍA (MADRID);15;MEDICINA I
1699-5848;0213-3911;HISTOLOGY AND HISTOPATHOLOGY;15;MEDICINA I
;0214-1582;REVISTA SENOLOGÍA Y PATOLOGÍA MAMARIA;15;MEDICINA I
1421-9697;0250-6807;ANNALS OF NUTRITION & METABOLISM;15;MEDICINA I
;0250-7005;ANTICANCER RESEARCH;15;MEDICINA I
;0250-8095;AMERICAN JOURNAL OF NEPHROLOGY;15;MEDICINA I
1421-9735;0253-5068;BLOOD PURIFICATION;15;MEDICINA I
1423-033X;0254-4962;PSYCHOPATHOLOGY;15;MEDICINA I
;0257-2753;DIGESTIVE DISEASES (BASEL);15;MEDICINA I
1559-0755;0257-277X;IMMUNOLOGIC RESEARCH;15;MEDICINA I
;0258-851X;IN VIVO (ATHENS);15;MEDICINA I
;0263-6352;JOURNAL OF HYPERTENSION;15;MEDICINA I
;0267-1379;CURRENT OPINION IN GASTROENTEROLOGY;15;MEDICINA I
1476-5365;0268-3369;BONE MARROW TRANSPLANTATION (BASINGSTOKE);15;MEDICINA I
;0268-960X;BLOOD REVIEWS;15;MEDICINA I
;0269-2163;PALLIATIVE MEDICINE;15;MEDICINA I
1365-2036;0269-2813;ALIMENTARY PHARMACOLOGY & THERAPEUTICS;15;MEDICINA I
;0270-7306;MOLECULAR AND CELLULAR BIOLOGY (PRINT);15;MEDICINA I
0171-6123;0270-9139;HEPATOLOGY (BALTIMORE, MD.);15;MEDICINA I
;0270-9295;SEMINARS IN NEPHROLOGY (PRINT);15;MEDICINA I
;0271-6798;JOURNAL OF PEDIATRIC ORTHOPEDICS;15;MEDICINA I
;0272-5231;CLINICS IN CHEST MEDICINE;15;MEDICINA I
;0272-6386;AMERICAN JOURNAL OF KIDNEY DISEASES;15;MEDICINA I
;0277-1691;INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY;15;MEDICINA I
;0277-3732;AMERICAN JOURNAL OF CLINICAL ONCOLOGY;15;MEDICINA I
