ISSN UNIFICADO;ISSN;TÍTULO;ID ÁREA MÃE ;ÁREA MÃE
;0020-7160;INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0020-739X;INTERNATIONAL JOURNAL OF MATHEMATICAL EDUCATION IN SCIENCE AND TECHNOLOGY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0020-9910;INVENTIONES MATHEMATICAE;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0021-2172;ISRAEL JOURNAL OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0021-4922;JAPANESE JOURNAL OF APPLIED PHYSICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0021-7670;JOURNAL D'ANALYSE MATHÉMATIQUE (JERUSALEM);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0021-7824;JOURNAL DE MATHÉMATIQUES PURES ET APPLIQUÉES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0021-8693;JOURNAL OF ALGEBRA (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0021-8928;JOURNAL OF APPLIED MATHEMATICS AND MECHANICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0021-9002;JOURNAL OF APPLIED PROBABILITY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0021-9045;JOURNAL OF APPROXIMATION THEORY (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1090-2716;0021-9991;JOURNAL OF COMPUTATIONAL PHYSICS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0022-0396;JOURNAL OF DIFFERENTIAL EQUATIONS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0022-040X;JOURNAL OF DIFFERENTIAL GEOMETRY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0022-1236;JOURNAL OF FUNCTIONAL ANALYSIS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1096-0813;0022-247X;JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0022-2488;JOURNAL OF MATHEMATICAL PHYSICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0022-2518;INDIANA UNIVERSITY MATHEMATICS JOURNAL;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0022-2526;STUDIES IN APPLIED MATHEMATICS (CAMBRIDGE);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0022-314X;JOURNAL OF NUMBER THEORY (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1573-2878;0022-3239;JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0022-4049;JOURNAL OF PURE AND APPLIED ALGEBRA (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1572-9613;0022-4715;JOURNAL OF STATISTICAL PHYSICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0024-3795;LINEAR ALGEBRA AND ITS APPLICATIONS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0024-6093;BULLETIN OF THE LONDON MATHEMATICAL SOCIETY (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0024-6107;JOURNAL OF THE LONDON MATHEMATICAL SOCIETY (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0024-6115;PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-2611;MANUSCRIPTA MATHEMATICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-5521;MATHEMATICA SCANDINAVICA (PAPIRFORM);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-5564;MATHEMATICAL BIOSCIENCES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-5610;MATHEMATICAL PROGRAMMING;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-5645;JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-567X;MATEMATICHESKIE ZAMETKI;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1088-6842;0025-5718;MATHEMATICS OF COMPUTATION;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-5831;MATHEMATISCHE ANNALEN;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-584X;MATHEMATISCHE NACHRICHTEN;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-5858;ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0025-5874;MATHEMATISCHE ZEITSCHRIFT;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1435-926X;0026-1335;METRIKA (HEIDELBERG);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0026-1424;METRON;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0026-2285;THE MICHIGAN MATHEMATICAL JOURNAL;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0026-9255;MONATSHEFTE FUR MATHEMATIK (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0027-7630;NAGOYA MATHEMATICAL JOURNAL;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
